arg-id,comment-id,x,y,cluster-id
A129.0_0,129.0,2.7594273,2.7746913,9
A130.0_0,130.0,1.525575,1.5545138,9
A131.0_0,131.0,4.2381325,2.3742826,9
A132.0_0,132.0,5.7574854,-1.2019707,8
A133.0_0,133.0,4.278778,2.372908,9
A134.0_0,134.0,4.3059373,2.3377292,9
A135.0_0,135.0,1.0682261,5.4692645,2
A136.0_0,136.0,0.7422097,4.993462,2
A137.0_0,137.0,1.1287049,5.994241,2
A138.0_0,138.0,0.92713416,5.290794,2
A139.0_0,139.0,1.6411715,1.4115981,9
A140.0_0,140.0,2.3855577,3.4993162,9
A141.0_0,141.0,1.671801,0.03394724,9
A142.0_0,142.0,-0.00204638,3.9128346,2
A143.0_0,143.0,0.47997838,0.6598398,9
A144.0_0,144.0,0.31607094,4.526575,2
A145.0_0,145.0,1.5049146,1.3946493,9
A146.0_0,146.0,4.5055695,1.764604,9
A147.0_0,147.0,1.9107673,3.687054,2
A148.0_0,148.0,0.77582324,2.2520344,9
A149.0_0,149.0,-0.30908975,0.57492054,9
A150.0_0,150.0,1.5512613,2.263752,9
A151.0_0,151.0,1.408012,4.0008826,2
A152.0_0,152.0,0.63401115,4.9095674,2
A153.0_0,153.0,0.45966154,5.4792333,2
A154.0_0,154.0,1.2313718,5.026952,2
A155.0_0,155.0,0.31428635,4.907354,2
A156.0_0,156.0,1.0876871,4.403623,2
A157.0_0,157.0,0.63191086,4.9071,2
A158.0_0,158.0,0.08505482,0.9119093,9
A159.0_0,159.0,0.19187532,3.1290503,2
A160.0_0,160.0,1.8418825,2.2451396,9
A161.0_0,161.0,1.1282495,3.851154,2
A162.0_0,162.0,2.1902676,3.2046723,9
A163.0_0,163.0,1.729688,2.4691427,9
A164.0_0,164.0,0.28034028,4.409071,2
A165.0_0,165.0,0.18851404,3.2852714,2
A166.0_0,166.0,0.5987697,3.1867507,2
A167.0_0,167.0,5.8492746,-1.1455854,8
A168.0_0,168.0,7.078869,4.090603,5
A169.0_0,169.0,0.496544,2.8620534,2
A170.0_0,170.0,2.7724216,6.130281,4
A171.0_0,171.0,3.9697354,1.4144937,9
A172.0_0,172.0,1.5698489,7.582724,9
A173.0_0,173.0,-0.88569003,2.9147534,7
A174.0_0,174.0,1.2061217,-0.13251916,9
A175.0_0,175.0,6.2572556,1.5599252,3
A176.0_0,176.0,3.9313066,1.0894842,9
A177.0_0,177.0,0.69071984,5.4235897,2
A178.0_0,178.0,-0.39552045,2.0942338,7
A179.0_0,179.0,3.8114972,4.9533653,1
A180.0_0,180.0,4.168171,1.8378536,9
A181.0_0,181.0,7.0231323,3.4793565,5
A182.0_0,182.0,-1.010291,2.7613482,7
A183.0_0,183.0,4.167834,5.5336685,0
A184.0_0,184.0,4.492123,3.939629,1
A185.0_0,185.0,4.639773,5.475914,0
A186.0_0,186.0,0.7924189,5.289226,2
A187.0_0,187.0,0.10547763,2.7119806,7
A188.0_0,188.0,2.8001888,1.5247725,9
A189.0_0,189.0,3.7914057,4.9579496,1
A190.0_0,190.0,-1.500526,3.568004,7
A191.0_0,191.0,-0.6261336,3.9098313,7
A192.0_0,192.0,0.09559417,4.1278014,2
A193.0_0,193.0,2.7017136,6.076068,4
A194.0_0,194.0,2.0566902,5.3028092,2
A195.0_0,195.0,6.9292455,3.3777885,5
A196.0_0,196.0,5.7706046,4.229765,5
A197.0_0,197.0,5.7400312,4.453514,5
A198.0_0,198.0,-0.0070427866,0.31747767,9
A199.0_0,199.0,2.2903981,-0.363578,9
A200.0_0,200.0,4.1927314,1.3582959,9
A201.0_0,201.0,1.4756103,7.668453,9
A202.0_0,202.0,3.3629365,4.30957,1
A203.0_0,203.0,3.9402776,1.5239168,9
A204.0_0,204.0,0.45026684,5.375591,2
A205.0_0,205.0,-0.5396592,4.0630236,2
A206.0_0,206.0,5.309374,3.180283,5
A207.0_0,207.0,6.376227,3.540284,5
A208.0_0,208.0,1.3384932,0.7916989,9
A209.0_0,209.0,6.7508254,3.2684803,5
A210.0_0,210.0,5.017668,2.5462685,9
A211.0_0,211.0,1.9559225,-0.22324303,9
A212.0_0,212.0,5.84244,4.1118784,5
A213.0_0,213.0,-0.18111476,2.5954537,7
A214.0_0,214.0,5.516483,3.5941024,5
A215.0_0,215.0,0.36568403,3.030298,2
A216.0_0,216.0,0.3747582,5.366736,2
A217.0_0,217.0,0.18975675,5.395368,2
A218.0_0,218.0,1.1507014,4.0502396,2
A219.0_0,219.0,-0.97471696,3.7717416,7
A220.0_0,220.0,3.1100724,-0.32230815,6
A221.0_0,221.0,4.2149787,1.3179712,9
A222.0_0,222.0,2.1440833,-0.26592717,9
A223.0_0,223.0,-0.94718874,3.352641,7
A224.0_0,224.0,-0.6963377,3.6514363,7
A225.0_0,225.0,1.5020483,7.6503735,9
A226.0_0,226.0,3.6953456,-0.2506967,6
A227.0_0,227.0,0.36947468,1.4348035,9
A228.0_0,228.0,5.4586043,0.4719037,3
A229.0_0,229.0,3.4906368,3.135638,1
A230.0_0,230.0,1.7987691,2.7852302,9
A231.0_0,231.0,1.4683516,1.401104,9
A232.0_0,232.0,4.650782,5.527707,0
A233.0_0,233.0,0.029294513,5.3219147,2
A234.0_0,234.0,0.5823993,5.41353,2
A235.0_0,235.0,0.2804897,4.698065,2
A236.0_0,236.0,2.1642694,5.3763742,2
A237.0_0,237.0,1.6544831,1.6927474,9
A238.0_0,238.0,2.2956164,2.8579578,9
A239.0_0,239.0,-1.0705897,1.8987548,7
A240.0_0,240.0,1.4480073,4.837827,2
A241.0_0,241.0,0.5435643,4.875935,2
A242.0_0,242.0,0.4757321,4.592307,2
A243.0_0,243.0,-1.4731408,3.2234862,7
A244.0_0,244.0,1.3126519,2.5594738,9
A245.0_0,245.0,1.4335717,0.27068076,9
A246.0_0,246.0,1.3037331,0.2643288,9
A247.0_0,247.0,1.46465,0.31082916,9
A248.0_0,248.0,5.2124267,0.28227037,3
A249.0_0,249.0,0.12920262,5.2959595,2
A250.0_0,250.0,6.3090153,1.6351025,3
A251.0_0,251.0,-0.4442833,2.7585812,7
A252.0_0,252.0,-0.59935695,3.0995517,7
A253.0_0,253.0,-0.49733484,4.6911263,2
A254.0_0,254.0,3.5154276,4.3268056,1
A255.0_0,255.0,-0.24929577,2.4946535,7
A256.0_0,256.0,3.5827355,4.3109245,1
A257.0_0,257.0,-0.620273,3.5890787,7
A258.0_0,258.0,2.834176,4.4929767,2
A259.0_0,259.0,-0.68310225,3.668049,7
A260.0_0,260.0,1.485678,5.729342,2
A261.0_0,261.0,3.6675973,0.8294795,9
A262.0_0,262.0,-0.9139186,2.555999,7
A263.0_0,263.0,5.867123,1.0236548,3
A264.0_0,264.0,-1.3129976,2.5157454,7
A265.0_0,265.0,1.959255,3.7048097,2
A266.0_0,266.0,2.44476,5.883117,4
A267.0_0,267.0,7.0112453,4.126288,5
A268.0_0,268.0,5.4032493,0.016181966,3
A269.0_0,269.0,-1.4652295,3.1863515,7
A270.0_0,270.0,1.9121549,0.6062276,9
A271.0_0,271.0,5.7620587,4.2489038,5
A272.0_0,272.0,-1.5912771,3.0781372,7
A273.0_0,273.0,3.0772812,2.0165284,9
A274.0_0,274.0,0.7098447,3.7921221,2
A275.0_0,275.0,0.8837987,3.0322177,9
A276.0_0,276.0,1.161877,1.1810788,9
A277.0_0,277.0,3.8775167,-0.20757046,6
A278.0_0,278.0,-0.8747062,5.6232247,9
A279.0_0,279.0,-0.9253465,5.6927166,9
A280.0_0,280.0,3.2766993,0.755458,9
A281.0_0,281.0,0.99971956,1.815152,9
A282.0_0,282.0,-1.5483001,3.4489017,7
A283.0_0,283.0,6.301932,1.7383808,3
A284.0_0,284.0,6.6589417,3.3428402,5
A285.0_0,285.0,3.8476136,-0.23205484,6
A286.0_0,286.0,4.159404,1.3721254,9
A287.0_0,287.0,-0.20468695,1.8210943,9
A288.0_0,288.0,2.472246,-1.1326706,6
A289.0_0,289.0,3.5839193,1.7237595,9
A290.0_0,290.0,2.1282094,-0.2554118,9
A291.0_0,291.0,6.4479113,3.806171,5
A292.0_0,292.0,4.030623,3.5104816,1
A293.0_0,293.0,3.7035983,-0.24189007,6
A294.0_0,294.0,3.105466,0.6151553,9
A295.0_0,295.0,4.539324,3.8926957,1
A296.0_0,296.0,1.6131897,4.8989215,2
A297.0_0,297.0,0.07269149,1.3967187,9
A298.0_0,298.0,5.370428,0.01840449,3
A299.0_0,299.0,5.56859,1.8373091,3
A300.0_0,300.0,2.8675807,5.761865,4
A301.0_0,301.0,2.1543498,0.05856831,9
A302.0_0,302.0,2.765288,6.158747,4
A303.0_0,303.0,4.608053,3.8645632,1
A304.0_0,304.0,5.788342,-1.2404253,8
A305.0_0,305.0,4.747618,3.2201483,9
A306.0_0,306.0,5.4111547,0.55483085,3
A307.0_0,307.0,7.1013947,4.1567397,5
A308.0_0,308.0,1.5154194,7.607997,9
A309.0_0,309.0,-0.17299327,0.4296134,9
A310.0_0,310.0,6.2132754,3.2129066,5
A311.0_0,311.0,2.8643131,4.5613875,2
A312.0_0,312.0,4.3786845,1.7960973,9
A313.0_0,313.0,3.2409234,3.1768513,1
A314.0_0,314.0,0.35266003,0.004214551,9
A315.0_0,315.0,4.1166487,1.0802345,9
A316.0_0,316.0,3.780159,0.8242234,9
A317.0_0,317.0,3.4443784,3.1736503,1
A318.0_0,318.0,2.5621758,0.61062866,9
